Pattern_1,Pattern_2,Pattern_3,Pattern_4,Pattern_5,Pattern_6,Pattern_7,Pattern_8,Pattern_9,Pattern_10,Matches, Cert,Flight,Units,testing, complete,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,0.4
lieu,production,commercial,off-the-shelf,subsystem,laboratory,strain,vendor,test,secretion,0.5,,,,,,,,,,,
experiment,drive,decision,status,team,march,expect,remain,covid,restriction,0.5,,,,,,,,,,,
context,approach,mitigate,project,ames,system,microbial,organism,engineering,integrated,0.5,,,,,,,,,,,
bioreactor,design,platform,new,product,development,decrease,overall,optimization,co2-,0.5,,,,,,,,,,,
delay,supply,chain,p-card,issue,possibility,analysis,optimize,co2-based,manufacturing,0.5,,,,,,,,,,,
statement,co2,element,access,lab,facility,covid-19,safety,precaution,procurement,0.5,,,,,,,,,,,
trend,criticality,low,current,l/c,affinity,group,technical,,,0.5,,,,,,,,,,,
trouble,stowage,return,sample,i,unchanged,context,status,risk,bn-4,0.5,,,,,,,,,,,
specific,concern,regular,communication,payload,integration,management,expectation,meet,timeline,0.5,,,,,,,,,,,
prone,alteration,mechanical,issues/delays,event,availability,prioritization,factor,significant,date,0.5,,,,,,,,,,,
impact,orbit,production,result,fidelity,point,overall,understanding,system,performance,0.5,,,,,,,,,,,
statement,approach,launch,crew,time,schedule,subject,unpredictable,change,misalignment,0.5,,,,,,,,,,,
unchanged,criticality,current,affinity,group,technical,,,,,0.5,,,,,,,,,,,
implement,trigger/,start,date,schedule,uid,completion,l/c,bn-2,trend,0.5,,,,,,,,,,,
indicate,yeast,require,experiment,incorporated,future,effort,mitigation,step,dollar,0.5,,,,,,,,,,,
indicates,primary,production,pack,study,little,impact,status,result,terrestrial,0.5,,,,,,,,,,,
mission,context,stasis,risk,year,determine,effect,test,strain,ground,0.5,,,,,,,,,,,
duration,ambient,storage,shelf-life,microbe,decrease,allow,feasible,use,system,0.5,,,,,,,,,,,
statement,approach,watch,microbial,viability,oxidative,stress,temperature,time,long,0.5,,,,,,,,,,,
technical,,,,,,,,,,0.5,,,,,,,,,,,
day,context,status,risk,trend,criticality,current,l/c,affinity,group,0.5,,,,,,,,,,,
team,need,find/design,high,fall,limit,acoustic,exception,astrobee-exception-0003,hour,0.5,,,,,,,,,,,
safety,standard,certified,operation,low,inferior,performance,limitation,amount,payload,0.5,,,,,,,,,,,
statement,approach,avionics,fan,noise,possibility,astrobee,design,meet,i,0.5,,,,,,,,,,,
criticality,current,l/c,affinity,group,technical,,,,,0.5,,,,,,,,,,,
pose,on-orbit,map,quality,vbn,work,context,status,risk,trend,0.5,,,,,,,,,,,
likely,sufficient,resolution,general,ar,target,additional,small,area,accurate,0.5,,,,,,,,,,,
computation,possibility,estimation,meet,accuracy,poor,performance,robotics,research,task,0.5,,,,,,,,,,,
statement,approach,solution,vision-based,navigation,free-flying,robot,resource,size,power,0.5,,,,,,,,,,,
l/c,affinity,group,technical,,,,,,,0.5,,,,,,,,,,,
context,status,exception,astrobee,approved,operation,on-orbit,trend,criticality,current,0.5,,,,,,,,,,,
possibility,straight,cert,unit,single,high,risk,ready,commit,flight,0.5,,,,,,,,,,,
statement,approach,sum,new,design,change,p4c,test,psrp,ptr,0.5,,,,,,,,,,,
technical,,,,,,,,,,0.5,,,,,,,,,,,
day,context,status,risk,trend,criticality,current,l/c,affinity,group,0.5,,,,,,,,,,,
team,need,find/design,high,fall,limit,acoustic,exception,astrobee-exception-0003,hour,0.5,,,,,,,,,,,
safety,standard,certified,operation,low,inferior,performance,limitation,amount,payload,0.5,,,,,,,,,,,
statement,approach,avionics,fan,noise,possibility,astrobee,design,meet,i,0.5,,,,,,,,,,,
criticality,current,l/c,affinity,group,technical,,,,,0.5,,,,,,,,,,,
pose,on-orbit,map,quality,vbn,work,context,status,risk,trend,0.5,,,,,,,,,,,
likely,sufficient,resolution,general,ar,target,additional,small,area,accurate,0.5,,,,,,,,,,,
computation,possibility,estimation,meet,accuracy,poor,performance,robotics,research,task,0.5,,,,,,,,,,,
statement,approach,solution,vision-based,navigation,free-flying,robot,resource,size,power,0.5,,,,,,,,,,,
trend,criticality,current,l/c,affinity,group,technical,,,,0.5,,,,,,,,,,,
payload,status,fy18,extension,proposal,decision,memo,document,element,risk,0.5,,,,,,,,,,,
development,initial,build,vision,navigation,adjust,localization,team,able,deploy,0.5,,,,,,,,,,,
sphere,program,kickoff,operation,loss,on-orbit,time,context,baseline,launch,0.5,,,,,,,,,,,
activity,astrobee,engineering,support,robot,software,performance,possibility,engineer,available,0.5,,,,,,,,,,,
statement,approach,baselined,project,schedule,end,free,flyer,on-dock,i,0.5,,,,,,,,,,,
technical,,,,,,,,,,0.5,,,,,,,,,,,
non-compliance,report,sspcb,risk,trend,criticality,current,l/c,affinity,group,0.5,,,,,,,,,,,
unique,free,robot,crew,mitigation,significant,challenge,status,critical,equivalent,0.5,,,,,,,,,,,
panel,autonomous,operation,payload,review,psrp,jsc,standard,applicable,team,0.5,,,,,,,,,,,
statement,approach,research,astrobee,collision,hazard,i,possibility,control,safety,0.5,,,,,,,,,,,
trend,criticality,current,l/c,affinity,group,technical,,,,0.5,,,,,,,,,,,
payload,status,fy18,extension,proposal,decision,memo,document,element,risk,0.5,,,,,,,,,,,
development,initial,build,vision,navigation,adjust,localization,team,able,deploy,0.5,,,,,,,,,,,
sphere,program,kickoff,operation,loss,on-orbit,time,context,baseline,launch,0.5,,,,,,,,,,,
activity,astrobee,engineering,support,robot,software,performance,possibility,engineer,available,0.5,,,,,,,,,,,
statement,approach,baselined,project,schedule,end,free,flyer,on-dock,i,0.5,,,,,,,,,,,
schedule.risk,id,trend,criticality,current,l/c,affinity,group,,,0.5,,,,,,,,,,,
risk,series,status,overlap,cert,order,stay,summer/fall,part,meet,0.5,,,,,,,,,,,
project,baseline,schedule,context,astrobee,iterative,refine,requirement,mature,design,0.5,,,,,,,,,,,
statement,approach,watch,serial,flight,development,effort,possibility,unit,delivery,0.5,,,,,,,,,,,
trend,criticality,current,l/c,affinity,group,technical,,,,0.5,,,,,,,,,,,
payload,status,fy18,extension,proposal,decision,memo,document,element,risk,0.5,,,,,,,,,,,
development,initial,build,vision,navigation,adjust,localization,team,able,deploy,0.5,,,,,,,,,,,
sphere,program,kickoff,operation,loss,on-orbit,time,context,baseline,launch,0.5,,,,,,,,,,,
activity,astrobee,engineering,support,robot,software,performance,possibility,engineer,available,0.5,,,,,,,,,,,
statement,approach,baselined,project,schedule,end,free,flyer,on-dock,i,0.5,,,,,,,,,,,
technical,,,,,,,,,,0.5,,,,,,,,,,,
early,fall,risk,close,trend,criticality,current,l/c,affinity,group,0.5,,,,,,,,,,,
human-friendly,fit,hatch,stay,way,status,design,ptr,delta,review,0.5,,,,,,,,,,,
electric,energy,efficiency,use,case,pressurized,dof,holonomic,sufficient,run,0.5,,,,,,,,,,,
size,limit,possibility,trade,control,thrust,time,stakeholder,expectation,context,0.5,,,,,,,,,,,
statement,approach,multiple,fan,battery,overall,system,dimension,increase,desired,0.5,,,,,,,,,,,
technical,,,,,,,,,,0.5,,,,,,,,,,,
non-compliance,report,sspcb,risk,trend,criticality,current,l/c,affinity,group,0.5,,,,,,,,,,,
unique,free,robot,crew,mitigation,significant,challenge,status,critical,equivalent,0.5,,,,,,,,,,,
panel,autonomous,operation,payload,review,psrp,jsc,standard,applicable,team,0.5,,,,,,,,,,,
statement,approach,research,astrobee,collision,hazard,i,possibility,control,safety,0.5,,,,,,,,,,,
group,technical,,,,,,,,,0.5,,,,,,,,,,,
prototype,unit,insufficient,margin,threshold.risk,trend,criticality,current,l/c,affinity,0.5,,,,,,,,,,,
payload,team,need,find/design,high,fall,limit,status,acoustic,test,0.5,,,,,,,,,,,
safety,standard,certified,operation,low,inferior,performance,context,limitation,amount,0.5,,,,,,,,,,,
statement,approach,avionics,fan,noise,possibility,astrobee,design,meet,i,0.5,,,,,,,,,,,
system,track,requirementsrisk,trend,criticality,current,l/c,affinity,group,technical,0.5,,,,,,,,,,,
small,area,accurate,pose,status,localization,p4,hardware,platform,successful,0.5,,,,,,,,,,,
context,vbn,likely,provide,sufficient,resolution,general,ar,target,additional,0.5,,,,,,,,,,,
computation,possibility,estimation,meet,accuracy,poor,performance,robotics,research,task,0.5,,,,,,,,,,,
statement,approach,solution,vision-based,navigation,free-flying,robot,resource,size,power,0.5,,,,,,,,,,,
 Cert,Units,testing, complete,,,,,,,0.4,,,,,,,,,,,
development ,delays ,estimated,dates ,,,,,,,0.4,,,,,,,,,,,
avionics,subsystem,,,,,,,,,1.0,,,,,,,,,,,
certification, flight ,units ,,,,,,,,1.0,,,,,,,,,,,
viable, microorganisms,,,,,,,,,1.0,,,,,,,,,,,
Low,power,mass,microbial,reactors,,,,,,0.5,,,,,,,,,,,
